Name,Description,MailNick,Visibility
Office,Used for all internal Harvestore staff based at the Office,Office,Private
Accounts,Accounts Team files,Accounts,Private
Coronavirus,Latest financial and legal position on the NCSV tenants during the Coronavirus epidemic Coronavirus Health and Safety Docs,Coronavirus,Private
Financials,Accounts viewable documents - Budgets Management Accounts Tenant's Budgets,Financials,Private
Kent Medical Campus,"KMC leases, maintenance and marketing",KentMedical,Private
Legal and Leases,NCSV legal and leases Leases renewals and other associated work,LegalandLeases,Private
Marketing,Marketing campaigns website social media branding & presentations,Marketing,Private
Projects,Projects in negotiation and in-progress,Projects,Private
Properties,Farms and Land EPC planning permission  and maintenance of units,Properties,Private
Site Maintenance,Common area facilities Health and Safety Contractors Rules and Regs Insurances,SiteMaintenance,Private
Tenant Correspondence,Tenant Conversations (not Legal related),TenantCorrespondence,Private
